问题,解决办法,备注
如何把图片变成黑白色,图像--调整--去色（ctrl+shift+u）,
ps如何保存成为gif图片,文件--存储为web所用格式--gif,
ps让gif无限循环,转换帧--转换为帧动画，点击“一次”，改为永远,
钢笔工具选择完毕之后无法变为选区,ctrl+enter才能变为选区,
ps如何变为选区,ctrl+enter,
图像自动颜色,图像--自动颜色（ctrl+shiftb）,
如何提取头发,魔棒工具先选择，然后选择--调整边缘--边缘检测--智能半径,
个别去痘1,修复画笔工具,
个别去痘2,仿制图章工具--alt点选样本--单击痘痘位置即可,
个别去痘3,修补工具也可，这里不赘述,
快速选中空白背景的整张图,魔棒工具--点选空白--反选,
给单独通道添加色阶,ctrl+l或者“图像--调整--色阶”,
复制图层没有反应,切换到英文输入法模式,
扣取透明物体,白色蒙版--建立选区--不要的涂黑色--要的涂白色,
黑白蒙版,直接点击蒙版图标建立白色蒙版，alt+点击蒙版图标建立黑色蒙版,
投影,右键图层--混合选项--勾选投影,
剪切蒙版如何理解,就是把上层的图片映射到下一层，透明区域不显示,
如何自己画头发,吸管吸取头发颜色，或者直接选黑色，4px画笔就可以画，2px的可以微调,
变换选区,画一个选择框--选择--变换选区,
延伸地板,滤镜--消失点,
如何保存空白背景的图片,保存为psd格式,
渐变色色标,上边的是不透明度色标，下边的是颜色色标，可以单击添加，或者点击删除按钮删除,
删除白色背景,选择一片区域，backspace或者delete,
拉出参考线,从左侧或者上侧的标尺拉到图中就行,
修复画笔工具,替换模式才是覆盖，正常模式不能覆盖,
填充周围类似景色,填充--内容识别（就会根据周围景物自动填上类似的景物），或者使用污点修复画笔工具也可以（是根据周围最近的景色来修复的）,
如何变形图片,编辑--变换--变形,
参考线如何隐藏,视图--显示--参考线（来回点击可以切换显示和隐藏）,
做皮肤,修复画笔工具边缘会计较明显，可以用涂抹工具来修饰,
按照路径添加文字,钢笔工具绘图--路径选择工具单击--文本工具写字,
历史记录面板是可以拖动到 图层那里的,拖动即可,
用图像的一部分作为图案来绘画,选择一块图案--编辑--定义图案--保存，然后点击图案图章工具--选择该图案涂抹即可,
如何选中文本图层,ctrl+单击 是把文字变为选区,
如何描边,选一块选区，右键--描边（或者图层--图层样式--描边）,
艺术字,简单的艺术字可以通过文本工具的--变形图标来改变形状,
颜色曲线如何取消锚点,ctrl+单击是取消锚点,
拉伸文本,alt+左右,
改变文本字体,选中文本（这个选中是用鼠标拉选，字体变色为选中），然后选择字号,
对齐多个文本,shift选中多个图层，移动工具中的对齐图标可以选择不同对齐方式,
制作水印,"文本工具写几个字--描边灰色--填充调为0%,透明度调为50%，ok了",
滤镜云彩和分层云彩,云彩是直接填充的，分层云彩是在已有的图案上叠加一层图案,
高反差保留磨皮,（选择--色彩范围--高光）ctrl+alt+2选区高光区域--ctrl+shift+i反相，添加曲线图层调，滤镜--其他--高反差保留,
同图层复制，同图层剪切,选区，ctrl+鼠标拖动是剪切，ctrl+alt+鼠标拖动时复制,
以鼠标点为圆心画圆,shift+椭圆工具是画正圆，shift+alt+椭圆工具是以鼠标点为圆心画圆,
色阶,3个滑块，分别代表暗调，中间调，高光。分成4个区，暗调--暗调到中间调，中间调到高光，高光,
磁性工具变为十字线,capslock,
扣取红色图章步骤,选择图层--进入通道--选择红色通道--复制红色通道--选择红色通道空白--反选即为选择黑色字体--选择rgb通道（注：不是显示rgb通道，一定要选中rgb通道，rgb通道变色即为选中），ctrl+enter，确定选区，回到图层，选中图层，backspace删除和图章交叠的黑色字体。新建sheet，填充白之色，回到图层，用橡皮擦擦掉残留黑色字体。画笔工具补全图章缺漏之处，ctrl+enter确定选区，填充图章色，运用涂抹工具和橡皮擦工具调整即可。,
通道磨皮要注意的事项,选好选区后一定要记得,
让图片颜色变浅,滤色,
灰色皮肤变得红润,选中图层，图像--调整--照片滤镜--颜色--#f1cdab--浓度100%,
黑白照片上色,复制一层，画笔颜色#CDAB9F，模式颜色--再复制一层模式柔光--,
黑白蒙版切换,ctrl+i,
背景中有杂物,填充--自动适应（选区背景面积要大于杂物）,
ctrl+单击通道,选中通道中较白的区域,
正片叠底效果,相当于两张幻灯片交叠，白色的交叠没效果，黑色的交叠为黑色，结果总是较暗的颜色,
轮廓线,去色--复制一层--反相--颜色减淡--滤镜--其他--最小值--设置为1,
灰度,图像--模式--灰度,
抠取婚纱,用通道抠完之后会发现背景色还是不干净，可以用减淡工具进行涂抹。,
如何截取指定大小图片,"1、裁剪工具--自定--大小和分辨率--设置指定的大小--进行裁剪。（图案的完整性会改变）
2、图像--图像大小--设置指定大小保存。（图案的大小和比例会变，但是完整性不变）",
如何拖动图层,鼠标选中图层---按v键就可拖动。,
"ctrl+""-"",ctrl+""+""",分别是水平左移和水平右移。,
ps如何取消选区,ctrl+d,
如何多步撤销,ctrl+alt+z，或者菜单栏---窗口---历史记录，出来的列表，可以手动回到某一步。,
自定义快捷键,菜单栏---编辑---键盘快捷键---这里面可以设置。,
复制图层快捷键,"1、原始方法:选中图层---右键---复制图层。
2、ctrl+shift+alt+拖动。
3、ctrl+j。",
选择固定大小,点击选择工具---上边的选项栏选择固定大小,
如果需要撤销注意点,如果需要撤销不要按esc键，而是要按ctrl+z或者ctrl+shift+z，例如消失点，如果按esc会全部退出。,
删除的快捷键,backspace和delete都可。如果某个不行的话，就试试另外一个。,
修补工具用法,"选择一块区域---按住鼠标拖动到某个区域。
如果上面勾选的是源的话，表示图案是目标到源。
如果勾选的是目标的话，表示图案是源到目标。
先选定的位置是源，拖动到的位置是目标。",
内容感知工具用法,"有2个选项。
移动:把选定区域的内容移动到另外一个位置，原位置根据背景补足。
扩展:把选定区域的内容复制到另外一个区域，原位置内容不变。",
变换的用法,其实一般是用自由变换，自由变换包括了变换的功能。Ctrl+t是快捷键。,
历史记录画笔用法,"1、选择一个区域---菜单栏---""选择""选项卡---存储选区。
2、Ctrl+d取消选择，全图高斯模糊30，ctrl+d取消选区。
3、Ctrl+单击通道，载入存储的选区，羽化30。
4、打开历史记录---把画笔历史记录(左边的小方块)调到最上方的记录那里。
5、选择历史记录画笔工具。涂抹选区即可。",
载入选区如何操作,ctrl+单击右侧通道的选区。,
f键切换全屏还是非全屏,,
delete删除不了图层,可能是选择工具还没有取消，所以不能选取。,
ctrl+z为什么只能撤销一步,因为ctrl+z是在2个状态之间切换。,
放大后的图如何移动,可以用上下左右键来实现，也可以按v来用鼠标拖动。,
裁剪工具为什么总是居中,视图:三等分这一栏这里，右边有可以设置的小箭头。去掉自动居中预览的勾即可。,
裁剪工具如何修复水平,点击拉直，然后拉一条水平线即可。,
透视图裁剪的作用,将不正的图片拉正,
切片工具作用,将一张大的图片切成若干部分，以便于分步加载。,
切片图片的保存,文件---存储为web所用格式,
ps修复画笔工具,"1、污点修复画笔工具---直接点去痘即可。会根据周围环境自动修改点击处的颜色。
2、修复画笔工具---alt+单击取色，要修改哪里点哪里即可，可以反复的点。",
切换前景色背景色,"1、x键切换。
2、左键或者右键点击切换图标。",
仿制图章工具,这个的作用是alt+单击点选一个位置。然后再点击一个位置，相当于把原图复制到这个位置来，但是需要一点一点的涂抹出来。,
图案图章工具,选用一个图案，,
背景图层有什么用,其实哪个图层在最下面，哪个图层就是背景图层。,
矩形工具的作用,其实就是可以画任意的图形，一般在蒙版中用的比较多。,
画笔样式  为什么是一个点,可能是因为像素太大了，超出了图片的范围，所以只显示一个点。,
调整画笔大小,"""[""是快速缩小。""]""是快速变大。",
如何缩放,"ctrl+""-""是缩小。
Ctrl+""+""是放大。
Ctrl+0是还原。",
ps 如何反选,"1、选择---反向。
2、ctrl+shift+i。",
快速蒙版---蒙版的常态图标中间是虚线。,"1、工具栏最下方就是蒙版工具。
2、按快捷键q可以切换蒙版状态。",
蒙版反相的快捷键是什么,ctrl+i,
ps快速选择工具如何后退,按住alt就是取消所点的位置,
ps如何自定义画笔,"1、新建一个10*10的文件。
2、1像素的画笔往其中画几个点。
3、编辑---定义画笔预设，弹出框里面可以输入中文画笔名称，前面的图形下面有编号，就是我们预设的画笔，点击确定即可。
4、打开画笔选择，就可以看到了。",
画笔面板开关的快捷键,f5，这样就不用手动的去点了，效率提高不少。,
用前景色填充和用背景色填充的快捷键,"用前景色填充:Alt＋Delete
用背景色填充:ctrl+delete",
显示或者关闭的快捷键,"显示或关闭画笔选项板：F5； 
显示或关闭颜色选项板：F6； 
显示或关闭图层选项板：F7； 
显示或关闭信息选项板：F8； 
显示或关闭动作选项板：F9； 
显示或关闭选项板、状态栏和工具箱：Tab； ",
图层相关快捷键,"移至上一图层：Ctrl＋“中括号”； 
排至下一图层：Ctrl＋“中括号”； 
移至最前图层：Shift＋Ctrl＋“中括号”； 
移至最底图层：Shift＋Ctrl＋“中括号”； 
激活上一图层：Alt＋“中括号”； 
激活下一图层：Alt＋“中括号”； 
合并可见图层：Shift＋Ctrl＋E； 
",
放大相关快捷键,"放大视窗：Ctrl＋“＋”； 
缩小视窗：Ctrl＋“－”； 
放大局部：Ctrl＋空格键＋鼠标单击； 
缩小局部：Alt＋空格键＋鼠标单击； 
翻屏查看：PageUp/PageDown； 
ctrl+alt+鼠标滚轮也可以快捷缩放。",
标尺，虚线，网格相关快捷键,"显示或隐藏标尺：Ctrl＋R； 
显示或隐藏虚线：Ctrl＋H； 
显示或隐藏网格：Ctrl＋”。 ",
调整笔头相关快捷键--重复使用滤镜这个非常有用,"增大笔头大小：“中括号”； 
减小笔头大小：“中括号”； 
选择最大笔头：Shift＋“中括号”； 
选择最小笔头：Shift＋“中括号”； 
重复使用滤镜：Ctrl＋F； 
",
色阶色彩相关快捷键,"调整色阶工具：Ctrl＋L； 
调整色彩平衡：Ctrl＋B； 
调节色调/饱和度：Ctrl＋U； 
调节曲线：ctrl+m
自由变形：Ctrl＋T； ",
描边路径不可用,一定要记得是用钢笔工具来画,
图层显示和隐藏的快捷键,alt+单击某个图层前面的眼睛。是单独显示该图层和显示全部图层之间切换。,
如何给某个图层调出色阶图层,选中某个图层，然后ctrl+l。,
对比度和色阶,"可以这样解释，调整对比度比较快捷，调整色阶比较专业。
对比度的调节是对比中性色（灰色）的强和弱。对比度调节不会对图产生严重失真。
色阶可通过通道调节，也可整体调节，阀值强弱，可以为做效果而强烈失真，它对比是和黑与白相对比，从而产生清晰与沉重的效果。",
色阶的中间调调整---调整的是黑白对比度,"可以通过比例调节除纯黑和纯白之外的一切亮度。
元亮度 brightness，right，left，medium
if b<l，合并为黑色。
if l<b<m,中间色调。
if m<b<r,中间暗色调。
if b>r，合并为亮色。
也就是说如果两边的往中间调，那么超出2边的区域的色阶会自动合并为黑色或者白色。
中间部分的颜色会根据比例来，如果medium还是1的话，那么保持不变。如果medium改变的话，输出色阶的亮度会重新调整，也就是提供了更强对比的可能。",
快速填充不但能适用于图层，还能适用于选区,,
背景橡皮擦工具---顾名思义:背景是什么颜色就擦掉什么颜色。---上面的第二个图标是背景是什么颜色就不擦除什么颜色。,"设置背景色，然后选择背景橡皮擦工具，点选上面拾色器的吸取背景颜色的图标，表示取用的是背景色。
设置不连续，容差50%，保护前景色。
然后在图片涂抹即可，发现若和背景色相同则擦除，否则不擦除。",
橡皮擦有时候点没有反应,这个一定要注意是中心点必须在非空的范围内才可以，否则的话，是点不动的。,
高反差通道磨皮原理,其实就是利用明暗筛选点，最后再调整曲线。,
中如何恢复默认的前景色背景色,d键即可,
消失点里面如何使用羽化,选择平面后，再选择内容后就会有羽化工具那一栏。,
恢复操作快捷键,注意了:恢复不是ctrl+y而是ctrl+shift+z。,
消失点如何删除平面,左侧工具栏第二个是画平面，第一个是编辑平面，按这个按钮，然后delete即可。,
ps同一图层内复制,"先选择，然后按下v表示移动，按住alt，拖动即可。
如果不按alt表示剪切。",
消失点如何重复操作,alt移动到某个位置后，然后按m继续选即可。或者点选择工具就是继续了。不用点确定也别按回车，否则退出消失点界面了。,
如何给选区调整曲线,直接选中一片区域，然后调曲线模块即可。注意选区其实已经在调整图层那展示出来了。,
如何修头发或者边缘,其实如果少量的，通过修补工具，或者污点修复工具就不错。,
通道磨皮选区如何不挡住图像,不要用曲线快捷键。而是手动的点击面板的曲线工具，那么就不会挡住了。,
ps使皮肤变白,图像---调整---去色，然后调整图层为滤色，和原图叠加即可。,
自由变换尺寸,ctrl+t，按住ctrl键拖动即可。,
